------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.4 port 5001 connected with 10.0.0.3 port 48702
[  2] local 10.0.0.4 port 5001 connected with 10.0.0.2 port 35962
[  3] local 10.0.0.4 port 5001 connected with 10.0.0.1 port 34368
[ ID] Interval       Transfer     Bandwidth
[  2] 25.0000-26.0000 sec  3.79 GBytes  32.6 Gbits/sec
[  3] 26.0000-27.0000 sec  3.96 GBytes  34.0 Gbits/sec
[  1] 26.0000-27.0000 sec  4.38 GBytes  37.6 Gbits/sec
[  2] 26.0000-27.0000 sec  3.09 GBytes  26.5 Gbits/sec
[  3] 27.0000-28.0000 sec  4.24 GBytes  36.4 Gbits/sec
[  1] 27.0000-28.0000 sec  4.12 GBytes  35.4 Gbits/sec
[  2] 27.0000-28.0000 sec  3.31 GBytes  28.4 Gbits/sec
[  1] 28.0000-29.0000 sec  4.54 GBytes  39.0 Gbits/sec
[  2] 28.0000-29.0000 sec  3.88 GBytes  33.4 Gbits/sec
[  3] 28.0000-29.0000 sec  3.55 GBytes  30.5 Gbits/sec
[  3] 29.0000-29.9971 sec  4.16 GBytes  35.9 Gbits/sec
[  3] 0.0000-29.9971 sec   116 GBytes  33.3 Gbits/sec
[  2] 29.0000-29.9972 sec  3.58 GBytes  30.8 Gbits/sec
[  2] 0.0000-29.9972 sec   111 GBytes  31.8 Gbits/sec
[  1] 29.0000-29.9997 sec  4.57 GBytes  39.3 Gbits/sec
[  1] 0.0000-29.9997 sec   124 GBytes  35.6 Gbits/sec
