------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.4 port 5001 connected with 10.0.0.3 port 53542
[ ID] Interval       Transfer     Bandwidth
[  1] 27.0000-28.0000 sec  2.37 GBytes  20.3 Gbits/sec
[  2] 26.0000-27.0000 sec  2.07 GBytes  17.7 Gbits/sec
[  3] 24.0000-25.0000 sec  2.12 GBytes  18.2 Gbits/sec
[  1] 28.0000-29.0000 sec  2.24 GBytes  19.3 Gbits/sec
[  2] 27.0000-28.0000 sec  2.49 GBytes  21.4 Gbits/sec
[  3] 25.0000-26.0000 sec  2.42 GBytes  20.8 Gbits/sec
[  1] 29.0000-30.0000 sec  2.02 GBytes  17.3 Gbits/sec
[  1] 0.0000-30.0166 sec  87.4 GBytes  25.0 Gbits/sec
[  2] 28.0000-29.0000 sec  2.50 GBytes  21.5 Gbits/sec
[  3] 26.0000-27.0000 sec  2.60 GBytes  22.3 Gbits/sec
[  2] 29.0000-29.9996 sec  2.76 GBytes  23.7 Gbits/sec
[  2] 0.0000-29.9996 sec  80.2 GBytes  23.0 Gbits/sec
[  3] 27.0000-28.0000 sec  3.30 GBytes  28.3 Gbits/sec
[  3] 28.0000-29.0000 sec  4.07 GBytes  35.0 Gbits/sec
[  3] 29.0000-29.9997 sec  4.01 GBytes  34.5 Gbits/sec
[  3] 0.0000-29.9997 sec  84.3 GBytes  24.1 Gbits/sec
